reaction_id,reactant_smiles,product_smiles,reactant_smiles_std,product_smiles_std,bgc_id,module_from,module_to,domains,domains_norm,domains_norm_no_acp,at_substrate,kr_annotation,dh_annotation,er_annotation,te_annotation,step_type,closure
BGC1000000_m0_to_m1,CC(=O)[S],CC(=O)CC(=O)[S],CC(=O)[S],CC(=O)CC(=O)[S],BGC1000000,0,1,"KS,AT","KS,AT","KS,AT",mal,,,,,EXT,
BGC1000000_m1_to_m2,CC(=O)CC(=O)[S],CC(=O)CC(=O)CC(=O)[S],CC(=O)CC(=O)[S],CC(=O)CC(=O)CC(=O)[S],BGC1000000,1,2,"KS,AT","KS,AT","KS,AT",mal,,,,,EXT,
BGC1000000_m2_to_m3,CC(=O)CC(=O)CC(=O)[S],CC(=O)CC(=O)CC(=O)CC(=O)[S],CC(=O)CC(=O)CC(=O)[S],CC(=O)CC(=O)CC(=O)CC(=O)[S],BGC1000000,2,3,"KS,AT","KS,AT","KS,AT",mal,,,,,EXT,
BGC1000000_m3_to_m4,CC(=O)CC(=O)CC(=O)CC(=O)[S],CC(=O)CC(=O)CC(=O)CC(=O)CC(=O)[S],CC(=O)CC(=O)CC(=O)CC(=O)[S],CC(=O)CC(=O)CC(=O)CC(=O)CC(=O)[S],BGC1000000,3,4,"KS,AT","KS,AT","KS,AT",mal,,,,,EXT,
BGC1000000_m4_to_m5,CC(=O)CC(=O)CC(=O)CC(=O)CC(=O)[S],CC1=CC2=CC(=CC(=C2C(=O)O1)O)O,CC(=O)CC(=O)CC(=O)CC(=O)CC(=O)[S],CC1=CC2=CC(=CC(=C2C(=O)O1)O)O,BGC1000000,4,5,DH,DH,DH,,,,,,CLOSURE,PT_or_TE
BGC1000001_m0_to_m1,CC(=O)[S],CC(O)CC(=O)[S],CC(=O)[S],CC(O)CC(=O)[S],BGC1000001,0,1,"KS,AT,KR","KS,AT,KR","KS,AT,KR",mal,unknown,,,,EXT,
BGC1000001_m1_to_m2,CC(O)CC(=O)[S],CC(O)CC(=O)CC(=O)[S],CC(O)CC(=O)[S],CC(O)CC(=O)CC(=O)[S],BGC1000001,1,2,"KS,AT","KS,AT","KS,AT",mal,,,,,EXT,
BGC1000001_m2_to_m3,CC(O)CC(=O)CC(=O)[S],CC(O)CC(=O)CC(O)CC(=O)[S],CC(O)CC(=O)CC(=O)[S],CC(O)CC(=O)CC(O)CC(=O)[S],BGC1000001,2,3,"KS,AT,KR","KS,AT,KR","KS,AT,KR",mal,unknown,,,,EXT,
BGC1000001_m3_to_m4,CC(O)CC(=O)CC(O)CC(=O)[S],CC(O)CC(=O)CC(O)CC(=O)CC(=O)[S],CC(O)CC(=O)CC(O)CC(=O)[S],CC(O)CC(=O)CC(O)CC(=O)CC(=O)[S],BGC1000001,3,4,"KS,AT","KS,AT","KS,AT",mal,,,,,EXT,
BGC1000001_m4_to_m5,CC(O)CC(=O)CC(O)CC(=O)CC(=O)[S],C[C@@H]1CC2=C(C(=CC=C2)O)C(=O)O1,CC(O)CC(=O)CC(O)CC(=O)CC(=O)[S],C[C@@H]1CC2=C(C(=CC=C2)O)C(=O)O1,BGC1000001,4,5,DH,DH,DH,,,,,,CLOSURE,PT_or_TE
BGC1000002_m0_to_m1,CC(=O)[S],CC(=O)CC(=O)[S],CC(=O)[S],CC(=O)CC(=O)[S],BGC1000002,0,1,"KS,AT","KS,AT","KS,AT",mal,,,,,EXT,
BGC1000002_m1_to_m2,CC(=O)CC(=O)[S],CC(=O)CC(O)CC(=O)[S],CC(=O)CC(=O)[S],CC(=O)CC(O)CC(=O)[S],BGC1000002,1,2,"KS,AT,KR","KS,AT,KR","KS,AT,KR",mal,unknown,,,,EXT,
BGC1000002_m2_to_m3,CC(=O)CC(O)CC(=O)[S],CC(=O)CC(O)CC(=O)CC(=O)[S],CC(=O)CC(O)CC(=O)[S],CC(=O)CC(O)CC(=O)CC(=O)[S],BGC1000002,2,3,"KS,AT","KS,AT","KS,AT",mal,,,,,EXT,
BGC1000002_m3_to_m4,CC(=O)CC(O)CC(=O)CC(=O)[S],CC(=O)CC(O)CC(=O)CC(O)CC(=O)[S],CC(=O)CC(O)CC(=O)CC(=O)[S],CC(=O)CC(O)CC(=O)CC(O)CC(=O)[S],BGC1000002,3,4,"KS,AT,KR","KS,AT,KR","KS,AT,KR",mal,unknown,,,,EXT,
BGC1000002_m4_to_m5,CC(=O)CC(O)CC(=O)CC(O)CC(=O)[S],CC(=O)CC(O)CC(=O)CC(O)CC(O)CC(=O)[S],CC(=O)CC(O)CC(=O)CC(O)CC(=O)[S],CC(=O)CC(O)CC(=O)CC(O)CC(O)CC(=O)[S],BGC1000002,4,5,"KS,AT,KR","KS,AT,KR","KS,AT,KR",mal,unknown,,,,EXT,
BGC1000002_m5_to_m6,CC(=O)CC(O)CC(=O)CC(O)CC(O)CC(=O)[S],CC1=C2C=CC=C(C2=CC=C1)C(=O)O,CC(=O)CC(O)CC(=O)CC(O)CC(O)CC(=O)[S],CC1=C2C=CC=C(C2=CC=C1)C(=O)O,BGC1000002,5,6,DH,DH,DH,,,,,,CLOSURE,PT_or_TE
BGC1000003_m0_to_m1,CC(=O)[S],CC(=O)CC(=O)[S],CC(=O)[S],CC(=O)CC(=O)[S],BGC1000003,0,1,"KS,AT","KS,AT","KS,AT",mal,,,,,EXT,
BGC1000003_m1_to_m2,CC(=O)CC(=O)[S],CC(=O)CC(O)CC(=O)[S],CC(=O)CC(=O)[S],CC(=O)CC(O)CC(=O)[S],BGC1000003,1,2,"KS,AT,KR","KS,AT,KR","KS,AT,KR",mal,unknown,,,,EXT,
BGC1000003_m2_to_m3,CC(=O)CC(O)CC(=O)[S],CC(=O)CC(O)CC(=O)CC(=O)[S],CC(=O)CC(O)CC(=O)[S],CC(=O)CC(O)CC(=O)CC(=O)[S],BGC1000003,2,3,"KS,AT","KS,AT","KS,AT",mal,,,,,EXT,
BGC1000003_m3_to_m4,CC(=O)CC(O)CC(=O)CC(=O)[S],CC1=C(C(=CC=C1)O)C(=O)O,CC(=O)CC(O)CC(=O)CC(=O)[S],CC1=C(C(=CC=C1)O)C(=O)O,BGC1000003,3,4,,,,,,,,,CLOSURE,PT_or_TE
BGC1000004_m0_to_m1,CC(=O)[S],CC(=O)CC(=O)[S],CC(=O)[S],CC(=O)CC(=O)[S],BGC1000004,0,1,"KS,AT","KS,AT","KS,AT",mal,,,,,EXT,
BGC1000004_m1_to_m2,CC(=O)CC(=O)[S],CC(=O)CC(=O)CC(=O)[S],CC(=O)CC(=O)[S],CC(=O)CC(=O)CC(=O)[S],BGC1000004,1,2,"KS,AT","KS,AT","KS,AT",mal,,,,,EXT,
BGC1000004_m2_to_m3,CC(=O)CC(=O)CC(=O)[S],CC(=O)CC(=O)CC(=O)CC(=O)[S],CC(=O)CC(=O)CC(=O)[S],CC(=O)CC(=O)CC(=O)CC(=O)[S],BGC1000004,2,3,"KS,AT","KS,AT","KS,AT",mal,,,,,EXT,
