reaction_id,bgc_id,step_type,domains_norm,at_substrate,closure,pt_mode,origin,reactant_smiles_std,product_smiles_std,file_stem,variant,selected_mapper,aam,module_from,module_to
BGC1000000_m0_to_m1,BGC1000000,EXT,"ACP,AT,KS",mal,,,iPKS_bacterial,CC(=O)[S],CC(=O)CC(=O)[S],BGC1000000_m0_to_m1__r0,0,graphormer,[S:4][C:2]([CH3:1])=[O:3]>>[CH3:5][C:6](=[O:7])[CH2:1][C:2](=[O:3])[S:4],0.0,1.0
BGC1000000_m0_to_m1,BGC1000000,EXT,"ACP,AT,KS",mal,,,iPKS_bacterial,CC(=O)[S],CC(=O)CC(=O)[S],BGC1000000_m0_to_m1__r1,1,graphormer,[S:4][C:2]([CH3:1])=[O:3]>>[CH3:5][C:6](=[O:7])[CH2:1][C:2](=[O:3])[S:4],0.0,1.0
BGC1000000_m0_to_m1,BGC1000000,EXT,"ACP,AT,KS",mal,,,iPKS_bacterial,CC(=O)[S],CC(=O)CC(=O)[S],BGC1000000_m0_to_m1__r2,2,graphormer,[S:4][C:2]([CH3:1])=[O:3]>>[CH3:5][C:6](=[O:7])[CH2:1][C:2](=[O:3])[S:4],0.0,1.0
BGC1000000_m0_to_m1,BGC1000000,EXT,"ACP,AT,KS",mal,,,iPKS_bacterial,CC(=O)[S],CC(=O)CC(=O)[S],BGC1000000_m0_to_m1__r3,3,graphormer,[S:4][C:2]([CH3:1])=[O:3]>>[CH3:5][C:6](=[O:7])[CH2:1][C:2](=[O:3])[S:4],0.0,1.0
BGC1000000_m1_to_m2,BGC1000000,EXT,"ACP,AT,KS",mal,,,iPKS_bacterial,CC(=O)CC(=O)[S],CC(=O)CC(=O)CC(=O)[S],BGC1000000_m1_to_m2__r0,0,graphormer,[CH3:1][C:2](=[O:3])[CH2:4][C:5](=[O:6])[S:7]>>[CH3:8][C:9](=[O:10])[CH2:1][C:2](=[O:3])[CH2:4][C:5](=[O:6])[S:7],1.0,2.0
BGC1000000_m1_to_m2,BGC1000000,EXT,"ACP,AT,KS",mal,,,iPKS_bacterial,CC(=O)CC(=O)[S],CC(=O)CC(=O)CC(=O)[S],BGC1000000_m1_to_m2__r1,1,graphormer,[CH3:1][C:2](=[O:3])[CH2:4][C:5](=[O:6])[S:7]>>[CH3:8][C:9](=[O:10])[CH2:1][C:2](=[O:3])[CH2:4][C:5](=[O:6])[S:7],1.0,2.0
BGC1000000_m1_to_m2,BGC1000000,EXT,"ACP,AT,KS",mal,,,iPKS_bacterial,CC(=O)CC(=O)[S],CC(=O)CC(=O)CC(=O)[S],BGC1000000_m1_to_m2__r2,2,graphormer,[CH3:1][C:2](=[O:3])[CH2:4][C:5](=[O:6])[S:7]>>[CH3:8][C:9](=[O:10])[CH2:1][C:2](=[O:3])[CH2:4][C:5](=[O:6])[S:7],1.0,2.0
BGC1000000_m1_to_m2,BGC1000000,EXT,"ACP,AT,KS",mal,,,iPKS_bacterial,CC(=O)CC(=O)[S],CC(=O)CC(=O)CC(=O)[S],BGC1000000_m1_to_m2__r3,3,graphormer,[CH3:1][C:2](=[O:3])[CH2:4][C:5](=[O:6])[S:7]>>[CH3:8][C:9](=[O:10])[CH2:1][C:2](=[O:3])[CH2:4][C:5](=[O:6])[S:7],1.0,2.0
BGC1000000_m2_to_m3,BGC1000000,EXT,"ACP,AT,KS",mal,,,iPKS_bacterial,CC(=O)CC(=O)CC(=O)[S],CC(=O)CC(=O)CC(=O)CC(=O)[S],BGC1000000_m2_to_m3__r0,0,graphormer,[CH3:1][C:2](=[O:3])[CH2:4][C:5](=[O:6])[CH2:7][C:8](=[O:9])[S:10]>>[CH2:11]([C:12](=[O:13])[S:14])[C:8]([CH2:7][C:5]([CH2:4][C:2](=[O:3])[CH3:1])=[O:6])=[O:9],2.0,3.0
BGC1000000_m2_to_m3,BGC1000000,EXT,"ACP,AT,KS",mal,,,iPKS_bacterial,CC(=O)CC(=O)CC(=O)[S],CC(=O)CC(=O)CC(=O)CC(=O)[S],BGC1000000_m2_to_m3__r1,1,graphormer,[CH3:1][C:2](=[O:3])[CH2:4][C:5](=[O:6])[CH2:7][C:8](=[O:9])[S:10]>>[CH2:11]([C:12](=[O:13])[S:14])[C:8]([CH2:7][C:5]([CH2:4][C:2](=[O:3])[CH3:1])=[O:6])=[O:9],2.0,3.0
